Trajectories
100
,,Hand:Center,,,Hand:Thumb,,,Hand:Root,,,Hand:Index,,,Hand:Pinky,,,ArmJoint6:ToEnd1,,,ArmJoint6:ToEnd2,,,ArmJoint6:Joint61,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
59,0,145.544388,440.767639,332.999817,120.889793,384.541351,316.065826,179.281616,459.828186,336.854248,65.549454,420.584564,326.549103,86.249809,500.334808,313.225769,-119.736961,3.315038,614.180115,-134.752853,0.533843,544.759644,-117.125511,3.081457,657.521973
60,0,143.609818,440.355804,332.938293,118.916740,384.170685,315.865509,177.359650,459.416199,336.827728,63.581600,420.229309,326.390442,84.368469,499.992065,313.273285,-119.739738,3.323676,614.189331,-134.751312,0.542332,544.771057,-117.130180,3.095007,657.528992
61,0,141.637863,439.996674,332.854889,116.869286,383.842010,315.728394,175.413284,459.020599,336.750336,61.595417,419.947632,326.295593,82.490845,499.701660,313.255035,-119.734787,3.321435,614.197693,-134.752121,0.540763,544.779419,-117.121849,3.091256,657.540955
62,0,139.650558,439.646637,332.746521,114.773140,383.526031,315.666168,173.435364,458.630371,336.615692,59.555756,419.780365,326.189362,80.608391,499.467773,313.087738,-119.731705,3.320657,614.183228,-134.748322,0.540675,544.761047,-117.117546,3.088117,657.528442
63,0,137.617889,439.349274,332.616821,112.631638,383.245026,315.640625,171.416809,458.266632,336.460327,57.486298,419.617737,326.080841,78.695625,499.256317,312.805023,-119.737213,3.320893,614.175781,-134.752762,0.538515,544.756409,-117.127144,3.086308,657.519043
64,0,135.561401,439.009460,332.485748,110.491257,382.922607,315.598022,169.369080,457.871399,336.324158,55.386242,419.433197,325.929199,76.740143,498.997742,312.473785,-119.746048,3.325846,614.175720,-134.755493,0.544018,544.760559,-117.129860,3.090329,657.519287
65,0,133.469055,438.620270,332.350677,108.367447,382.551117,315.468140,167.304672,457.464844,336.204163,53.287510,419.146973,325.672760,74.717491,498.656494,312.178955,-119.742409,3.317103,614.187988,-134.759262,0.540411,544.768433,-117.131233,3.088597,657.529602
66,0,131.371292,438.169495,332.190002,106.273476,382.113647,315.242920,165.223999,457.004883,336.089630,51.191128,418.715088,325.394531,72.654861,498.252136,311.953491,-119.737793,3.315311,614.184082,-134.754181,0.536841,544.763611,-117.123619,3.079639,657.528931
67,0,129.073624,438.003693,331.814026,103.760307,382.091827,314.855042,163.155396,456.511017,335.996643,49.104500,418.212555,325.109924,70.581604,497.782806,311.864655,-119.728561,3.307999,614.177124,-134.744568,0.530673,544.753784,-117.117622,3.079178,657.515076
68,0,127.321991,437.096069,331.798950,102.095375,381.191528,314.636200,161.081528,455.996948,335.932709,47.022419,417.740479,324.892395,68.518898,497.337128,311.881226,-119.732788,3.321451,614.179321,-134.748138,0.544178,544.760498,-117.117302,3.085315,657.522522
