Hand:Center,Hand:Center,Hand:Center,Hand:Thumb,Hand:Thumb,Hand:Thumb,Hand:Root,Hand:Root,Hand:Root,Hand:Index,Hand:Index,Hand:Index,Hand:Pinky,Hand:Pinky,Hand:Pinky
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
787.2584385,509.92383125,304.663166,762.6892855,453.59509525,288.370899,820.6702725,529.1676972500001,307.78615199999996,707.4553375,489.08456724999996,300.42058199999997,727.0884854999999,568.81863625,286.663349
786.6725005,509.57721225,304.21678499999996,762.1621245,453.24923924999996,287.782398,820.0862735000001,528.85818725,307.369282,706.8997115,488.62988525,299.82942599999996,726.4608005,568.4488552500001,286.27293799999995
786.0292055,509.25995125,303.719654,761.5542295,452.92129825,287.217701,819.4364475,528.55145525,306.918293,706.2490235,488.29245225,299.226582,725.8056945,568.10104625,285.733906
785.3170015000001,509.00451925,303.201557,760.8518215,452.65173625,286.72673399999996,818.7286685,528.26800825,306.448078,705.5561215,488.01944225,298.611896,725.1206055,567.82632725,285.03718899999996
784.5471645,508.77963524999996,302.71056,760.0675355,452.41186825,286.30263099999996,817.9772184999999,528.03369425,305.980823,704.7622525,487.84347825,297.986225,724.4063115,567.60907225,284.255543
783.7143865,508.54941025,302.20583,759.2226565,452.16025025,285.86821399999997,817.1660155,527.79678625,305.494495,703.8956905,487.70312724999997,297.32640499999997,723.6657565,567.44870225,283.42058199999997
782.5992735,508.64383225,301.4688,758.3227995,451.85122924999996,285.374287,816.3118595,527.48800925,305.031727,702.9988255,487.49905624999997,296.646412,722.8714375,567.2337982500001,282.63979
781.7717285,508.18445125,301.03444299999995,756.9818265,451.90265124999996,284.822071,815.4041445,527.14889825,304.632832,702.0520015,487.26468124999997,295.996448,722.0435255,566.98526225,282.02885799999996
780.8239595,507.78872924999996,300.64748,756.3869015,451.21136724999997,284.34382999999997,814.4534145,526.78555525,304.273487,701.0565564999999,486.97384925,295.410999,721.1668315,566.70846825,281.540333
779.9129945,507.23211925,300.41835399999997,755.3848575,450.86899024999997,283.92497599999996,813.4695735,526.42297625,303.926472,700.0468065,486.64868425,294.88084799999996,720.2159725,566.37930525,281.093342
778.9479065,506.91678125,299.931477,754.3568574999999,450.48764324999996,283.62630099999996,812.4290315000001,526.05285925,303.58369799999997,699.0117265,486.30243225,294.471363,719.2105945,565.99969725,280.62154
777.8180235,506.53998025,299.748585,753.3034365,450.13391425,283.41801799999996,811.3752445,525.71469425,303.26295799999997,697.9517515,485.97433724999996,294.14235299999996,718.1672595,565.64337425,280.09093099999996
776.7445675,506.20398224999997,299.464924,752.2373195,449.77191424999995,283.253071,810.3112645,525.38144225,302.96034599999996,696.8737795,485.64721925,293.841206,717.1043395,565.27420325,279.58775699999995
775.6328585,505.85660025,299.223621,751.1504055,449.40252925,283.06532699999997,809.1994625,525.05063125,302.71049899999997,695.7680135,485.28396825,293.53682299999997,715.9983525,564.90674125,279.184132
774.4631045,505.44671925,299.01924499999996,750.0204165,448.98483525,282.823963,808.0254975,524.63855225,302.55281399999996,694.6110305,484.82873824999996,293.276081,714.8174435,564.49319725,278.97313299999996
773.2414095,504.99878225,298.860371,748.8551335,448.55102825,282.504932,806.8078765,524.22018725,302.45637899999997,693.4082265,484.32791425,293.012043,713.5640185,564.04889225,278.940876
771.9922635,504.52398925,298.73506499999996,747.3101955,448.47436825,282.073536,805.5459595,523.76263725,302.41380699999996,692.1613385,483.81570725,292.755268,712.2560195,563.60156525,279.02662999999995
770.6841274999999,504.06598125,298.64174299999996,746.3892365,447.69574224999997,281.80556099999995,804.2418975,523.33883925,302.387257,690.8652725,483.27432525,292.542805,710.9174275,563.15845025,279.170399
769.3336335,503.62955024999997,298.573872,745.0820005,447.27865825,281.57118599999995,802.8798214999999,522.91247825,302.37724699999995,689.5530095,482.78522024999995,292.417286,709.5404585,562.71463325,279.281879
767.9552914999999,503.22592425,298.529896,743.7148285000001,446.88525625,281.45296099999996,801.4889525,522.51178225,302.360737,688.1758575,482.37741324999996,292.367176,708.1294255,562.31582925,279.289967
