T
100
,,Base:XYPlane1,,,Base:XYPlane2,,,Base:XYPlane3,,,Base:XYPlane4,,,Base:Zbase,,,OriginTest:O,,,OriginTest:X,,,OriginTest:Y,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33,0,-559.869385,-91.121193,233.447372,-561.945984,-20.340929,233.794922,-633.490173,-23.703894,236.025009,-628.217468,-93.678215,235.510117,-616.456116,205.863434,34.096478,9.280962,10.226554,43.686935,202.440491,10.329391,36.609955,9.225554,236.538345,43.806767
34,0,-559.871948,-91.118896,233.452744,-561.950745,-20.337177,233.795364,-633.489624,-23.700159,236.026443,-628.219910,-93.676796,235.516724,-616.457397,205.864044,34.101254,9.280420,10.225961,43.690220,202.440689,10.328088,36.614326,9.224850,236.534744,43.811089
35,0,-559.867126,-91.119057,233.458939,-561.944641,-20.338978,233.804901,-633.483704,-23.702541,236.033737,-628.218933,-93.676743,235.523010,-616.452454,205.860611,34.105469,9.285744,10.219085,43.704079,202.443649,10.321919,36.623310,9.228154,236.528076,43.820091
36,0,-559.870789,-91.120804,233.457230,-561.934937,-20.340488,233.810333,-633.483826,-23.705410,236.034897,-628.218628,-93.676094,235.522537,-616.454224,205.860535,34.109058,9.281780,10.222351,43.703041,202.441330,10.327574,36.620949,9.224783,236.534927,43.818024
37,0,-559.874268,-91.124397,233.445526,-561.948853,-20.339241,233.790024,-633.492188,-23.709435,236.020172,-628.223206,-93.682770,235.507706,-616.461304,205.861023,34.086449,9.280696,10.221986,43.688297,202.441757,10.324619,36.607964,9.222150,236.532806,43.803703
38,0,-559.878296,-91.121811,233.441177,-561.953003,-20.343031,233.784500,-633.499023,-23.706600,236.013306,-628.229431,-93.680099,235.503220,-616.469299,205.864182,34.085793,9.277595,10.221323,43.683620,202.437943,10.324786,36.603779,9.222322,236.530777,43.800919
39,0,-559.880249,-91.117889,233.452316,-561.949219,-20.340723,233.802444,-633.494995,-23.703867,236.027039,-628.227783,-93.680252,235.515366,-616.470154,205.862228,34.105339,9.278656,10.222020,43.700333,202.439301,10.323086,36.624557,9.222027,236.529190,43.819294
40,0,-559.873840,-91.118752,233.456253,-561.948120,-20.337914,233.803772,-633.496460,-23.701258,236.031281,-628.222900,-93.675972,235.519012,-616.464905,205.866180,34.101902,9.279036,10.226382,43.699757,202.439407,10.327864,36.618542,9.222800,236.536499,43.818367
41,0,-559.871155,-91.120972,233.446060,-561.945129,-20.342157,233.791763,-633.494324,-23.703520,236.016495,-628.225586,-93.677269,235.506683,-616.464417,205.864655,34.085579,9.280444,10.222881,43.683132,202.440659,10.328231,36.602806,9.224882,236.534500,43.802284
42,0,-559.871582,-91.118813,233.442780,-561.948486,-20.336075,233.789642,-633.493408,-23.698469,236.014114,-628.221436,-93.672562,235.506836,-616.462830,205.867599,34.087418,9.280639,10.229329,43.684666,202.440750,10.333216,36.603741,9.223083,236.542511,43.799274
